n = 11, k = 10, d = 2, CR = 0.90909091, H_in_req = 0.99881332, efficiency = 0.91007997 
n = 10, k = 9, d = 2, CR = 0.90000000, H_in_req = 0.99832207, efficiency = 0.90141251 
n = 9, k = 8, d = 2, CR = 0.88888889, H_in_req = 0.99762762, efficiency = 0.89089132 
n = 8, k = 7, d = 2, CR = 0.87500000, H_in_req = 0.99664609, efficiency = 0.87781913 
n = 7, k = 6, d = 2, CR = 0.85714286, H_in_req = 0.99525913, efficiency = 0.86108229 
n = 6, k = 5, d = 2, CR = 0.83333333, H_in_req = 0.99329994, efficiency = 0.83878659 
n = 5, k = 4, d = 2, CR = 0.80000000, H_in_req = 0.99053378, efficiency = 0.80744344 
n = 4, k = 3, d = 2, CR = 0.75000000, H_in_req = 0.98663086, efficiency = 0.75990934 
n = 31, k = 21, d = 5, CR = 0.67741935, H_in_req = 0.98179042, efficiency = 0.68995081 
n = 3, k = 2, d = 2, CR = 0.66666667, H_in_req = 0.98112926, efficiency = 0.67914939 
n = 89, k = 56, d = 11, CR = 0.62921348, H_in_req = 0.97831269, efficiency = 0.64315046 
n = 63, k = 39, d = 9, CR = 0.61904762, H_in_req = 0.96845347, efficiency = 0.63919617 
n = 89, k = 55, d = 12, CR = 0.61797753, H_in_req = 0.96754308, efficiency = 0.63869641 
n = 65, k = 40, d = 10, CR = 0.61538462, H_in_req = 0.95707842, efficiency = 0.64296637 
n = 7, k = 4, d = 3, CR = 0.57142857, H_in_req = 0.95019475, efficiency = 0.60123014 
n = 21, k = 12, d = 5, CR = 0.57142857, H_in_req = 0.93755961, efficiency = 0.60943427 
n = 63, k = 36, d = 11, CR = 0.57142857, H_in_req = 0.92493221, efficiency = 0.61778873 
n = 63, k = 35, d = 12, CR = 0.55555556, H_in_req = 0.89937973, efficiency = 0.61769202 
n = 23, k = 12, d = 7, CR = 0.52173913, H_in_req = 0.85228941, efficiency = 0.61211092 
n = 47, k = 24, d = 11, CR = 0.51063830, H_in_req = 0.84455019, efficiency = 0.60460235 
n = 103, k = 51, d = 20, CR = 0.49514563, H_in_req = 0.83818682, efficiency = 0.59072264 
n = 89, k = 44, d = 18, CR = 0.49438202, H_in_req = 0.83309904, efficiency = 0.59341179 
n = 73, k = 36, d = 16, CR = 0.49315068, H_in_req = 0.81930861, efficiency = 0.60189406 
n = 47, k = 23, d = 12, CR = 0.48936170, H_in_req = 0.80532197, efficiency = 0.60763328 
n = 23, k = 11, d = 8, CR = 0.47826087, H_in_req = 0.79171716, efficiency = 0.60402555 
n = 255, k = 107, d = 45, CR = 0.41960784, H_in_req = 0.78129561, efficiency = 0.53706167 
n = 117, k = 49, d = 24, CR = 0.41880342, H_in_req = 0.76197285, efficiency = 0.54961916 
n = 151, k = 61, d = 31, CR = 0.40397351, H_in_req = 0.73434235, efficiency = 0.55010703 
n = 151, k = 60, d = 32, CR = 0.39735099, H_in_req = 0.71644003, efficiency = 0.55460940 
n = 127, k = 49, d = 28, CR = 0.38582677, H_in_req = 0.70218083, efficiency = 0.54945803 
n = 55, k = 21, d = 15, CR = 0.38181818, H_in_req = 0.69745004, efficiency = 0.54742272 
n = 73, k = 27, d = 20, CR = 0.36986301, H_in_req = 0.65212672, efficiency = 0.56714333 
n = 255, k = 87, d = 53, CR = 0.34117647, H_in_req = 0.64451390, efficiency = 0.52934863 
n = 129, k = 44, d = 30, CR = 0.34108527, H_in_req = 0.63945016, efficiency = 0.53339188 
n = 127, k = 43, d = 31, CR = 0.33858268, H_in_req = 0.61886097, efficiency = 0.54709349 
n = 51, k = 17, d = 16, CR = 0.33333333, H_in_req = 0.61717767, efficiency = 0.54006122 
n = 127, k = 42, d = 32, CR = 0.33070866, H_in_req = 0.59863294, efficiency = 0.55242665 
n = 117, k = 37, d = 29, CR = 0.31623932, H_in_req = 0.59797355, efficiency = 0.52883739 
n = 255, k = 79, d = 55, CR = 0.30980392, H_in_req = 0.59539785, efficiency = 0.52032436 
n = 117, k = 36, d = 32, CR = 0.30769231, H_in_req = 0.55080683, efficiency = 0.55860557 
n = 195, k = 56, d = 46, CR = 0.28717949, H_in_req = 0.54881889, efficiency = 0.52325889 
n = 63, k = 18, d = 21, CR = 0.28571429, H_in_req = 0.52446759, efficiency = 0.54473989 
n = 127, k = 36, d = 35, CR = 0.28346457, H_in_req = 0.51641974, efficiency = 0.54888818 
n = 127, k = 35, d = 36, CR = 0.27559055, H_in_req = 0.49770234, efficiency = 0.55370983 
n = 63, k = 17, d = 22, CR = 0.26984127, H_in_req = 0.49357373, efficiency = 0.54667699 
n = 89, k = 23, d = 28, CR = 0.25842697, H_in_req = 0.47752394, efficiency = 0.54115764 
n = 63, k = 16, d = 23, CR = 0.25396825, H_in_req = 0.46391984, efficiency = 0.54740574 
n = 233, k = 58, d = 60, CR = 0.24892704, H_in_req = 0.46070039, efficiency = 0.54031374 
n = 255, k = 63, d = 65, CR = 0.24705882, H_in_req = 0.45729508, efficiency = 0.54025270 
n = 63, k = 15, d = 24, CR = 0.23809524, H_in_req = 0.43549119, efficiency = 0.54669158 
n = 127, k = 29, d = 43, CR = 0.22834646, H_in_req = 0.38734445, efficiency = 0.58949750 
n = 127, k = 28, d = 44, CR = 0.22047244, H_in_req = 0.37210842, efficiency = 0.59247402 
n = 195, k = 40, d = 58, CR = 0.20512821, H_in_req = 0.37059746, efficiency = 0.55349295 
n = 255, k = 52, d = 74, CR = 0.20392157, H_in_req = 0.36132529, efficiency = 0.56436030 
n = 255, k = 51, d = 74, CR = 0.20000000, H_in_req = 0.35647699, efficiency = 0.56103503 
n = 255, k = 49, d = 75, CR = 0.19215686, H_in_req = 0.34277974, efficiency = 0.56057264 
n = 255, k = 47, d = 85, CR = 0.18431373, H_in_req = 0.29891725, efficiency = 0.61659141 
n = 255, k = 46, d = 86, CR = 0.18039216, H_in_req = 0.29138337, efficiency = 0.61907527 
n = 255, k = 45, d = 87, CR = 0.17647059, H_in_req = 0.28396228, efficiency = 0.62144404 
n = 255, k = 44, d = 88, CR = 0.17254902, H_in_req = 0.27665201, efficiency = 0.62369004 
n = 255, k = 38, d = 90, CR = 0.14901961, H_in_req = 0.24440108, efficiency = 0.60971780 
n = 511, k = 76, d = 171, CR = 0.14872798, H_in_req = 0.23085175, efficiency = 0.64424909 
n = 255, k = 36, d = 92, CR = 0.14117647, H_in_req = 0.23066865, efficiency = 0.61201447 
n = 511, k = 67, d = 175, CR = 0.13111546, H_in_req = 0.20448775, efficiency = 0.64118024 
n = 255, k = 32, d = 96, CR = 0.12549020, H_in_req = 0.20441282, efficiency = 0.61388655 
n = 255, k = 29, d = 95, CR = 0.11372549, H_in_req = 0.19294048, efficiency = 0.58941272 
n = 511, k = 58, d = 183, CR = 0.11350294, H_in_req = 0.17503833, efficiency = 0.64843500 
n = 255, k = 26, d = 98, CR = 0.10196078, H_in_req = 0.17421225, efficiency = 0.58524511 
n = 241, k = 24, d = 94, CR = 0.09958506, H_in_req = 0.17184307, efficiency = 0.57948752 
n = 255, k = 25, d = 100, CR = 0.09803922, H_in_req = 0.16658210, efficiency = 0.58851038 
n = 511, k = 49, d = 187, CR = 0.09589041, H_in_req = 0.15032273, efficiency = 0.63788397 
n = 255, k = 21, d = 111, CR = 0.08235294, H_in_req = 0.13490127, efficiency = 0.61043919 
n = 255, k = 20, d = 112, CR = 0.07843137, H_in_req = 0.12972079, efficiency = 0.60458662 
n = 511, k = 40, d = 191, CR = 0.07827789, H_in_req = 0.12613635, efficiency = 0.62056603 
n = 511, k = 31, d = 219, CR = 0.06066536, H_in_req = 0.09162709, efficiency = 0.66206845 
n = 511, k = 28, d = 223, CR = 0.05479452, H_in_req = 0.08372933, efficiency = 0.65440110 
n = 511, k = 19, d = 239, CR = 0.03718200, H_in_req = 0.06038394, efficiency = 0.61572728 
n = 511, k = 10, d = 255, CR = 0.01956947, H_in_req = 0.03962485, efficiency = 0.49381936 
n = 144, k = 1, d = 144, CR = 0.00694444, H_in_req = 0.03935795, efficiency = 0.17626682 
