n = 2, k = 1, d = 2, CR = 0.5, H_in_req = 0.962503, efficiency = 0.51895971, area = 8.67 GEs 
n = 3, k = 1, d = 3, CR = 0.3333333333333333, H_in_req = 0.877646, efficiency = 0.37942427, area = 8.67 GEs 
n = 3, k = 2, d = 2, CR = 0.6666666666666666, H_in_req = 0.978232, efficiency = 0.68116091, area = 17.34 GEs 
n = 4, k = 1, d = 4, CR = 0.25, H_in_req = 0.783053, efficiency = 0.31894416, area = 8.67 GEs 
n = 4, k = 3, d = 2, CR = 0.75, H_in_req = 0.984574, efficiency = 0.76149697, area = 26.01 GEs 
n = 5, k = 1, d = 5, CR = 0.2, H_in_req = 0.6973, efficiency = 0.28653379, area = 8.67 GEs 
n = 5, k = 4, d = 2, CR = 0.8, H_in_req = 0.988037, efficiency = 0.80948406, area = 34.68 GEs 
n = 6, k = 1, d = 6, CR = 0.16666666666666666, H_in_req = 0.624259, efficiency = 0.26671622, area = 8.67 GEs 
n = 6, k = 5, d = 2, CR = 0.8333333333333334, H_in_req = 0.990225, efficiency = 0.84139161, area = 43.35 GEs 
n = 7, k = 1, d = 7, CR = 0.14285714285714285, H_in_req = 0.563027, efficiency = 0.25347706, area = 8.67 GEs 
n = 7, k = 6, d = 2, CR = 0.8571428571428571, H_in_req = 0.991735, efficiency = 0.86414298, area = 52.02 GEs 
n = 8, k = 1, d = 8, CR = 0.125, H_in_req = 0.511661, efficiency = 0.24405828, area = 8.67 GEs 
n = 8, k = 7, d = 2, CR = 0.875, H_in_req = 0.992839, efficiency = 0.88118540, area = 60.69 GEs 
n = 9, k = 1, d = 9, CR = 0.1111111111111111, H_in_req = 0.468279, efficiency = 0.23703824, area = 8.67 GEs 
n = 9, k = 8, d = 2, CR = 0.8888888888888888, H_in_req = 0.993683, efficiency = 0.89442833, area = 68.70 GEs 
n = 10, k = 1, d = 10, CR = 0.1, H_in_req = 0.43132, efficiency = 0.23161499, area = 8.67 GEs 
n = 10, k = 9, d = 2, CR = 0.9, H_in_req = 0.994349, efficiency = 0.90501499, area = 75.37 GEs 
