n = 11, k = 10, d = 2, CR = 0.90909091, H_in_req = 0.99881332, efficiency = 0.91007997 
n = 10, k = 9, d = 2, CR = 0.90000000, H_in_req = 0.99832207, efficiency = 0.90141251 
n = 9, k = 8, d = 2, CR = 0.88888889, H_in_req = 0.99762762, efficiency = 0.89089132 
n = 8, k = 7, d = 2, CR = 0.87500000, H_in_req = 0.99664609, efficiency = 0.87781913 
n = 7, k = 6, d = 2, CR = 0.85714286, H_in_req = 0.99525913, efficiency = 0.86108229 
n = 6, k = 5, d = 2, CR = 0.83333333, H_in_req = 0.99329994, efficiency = 0.83878659 
n = 5, k = 4, d = 2, CR = 0.80000000, H_in_req = 0.99053378, efficiency = 0.80744344 
n = 24, k = 18, d = 4, CR = 0.75000000, H_in_req = 0.98969066, efficiency = 0.75777045 
n = 4, k = 3, d = 2, CR = 0.75000000, H_in_req = 0.98663086, efficiency = 0.75990934 
n = 22, k = 16, d = 4, CR = 0.72727273, H_in_req = 0.98544188, efficiency = 0.73797074 
n = 21, k = 15, d = 4, CR = 0.71428571, H_in_req = 0.98270383, efficiency = 0.72680911 
n = 20, k = 14, d = 4, CR = 0.70000000, H_in_req = 0.97945447, efficiency = 0.71463251 
n = 16, k = 11, d = 4, CR = 0.68750000, H_in_req = 0.96561256, efficiency = 0.71191856 
n = 15, k = 10, d = 4, CR = 0.66666667, H_in_req = 0.95919742, efficiency = 0.69495600 
n = 31, k = 20, d = 6, CR = 0.64516129, H_in_req = 0.95803326, efficiency = 0.67338898 
n = 14, k = 9, d = 4, CR = 0.64285714, H_in_req = 0.95160544, efficiency = 0.67547503 
n = 45, k = 28, d = 8, CR = 0.62222222, H_in_req = 0.94952548, efficiency = 0.65527468 
n = 29, k = 18, d = 6, CR = 0.62068966, H_in_req = 0.94732221, efficiency = 0.65516798 
n = 13, k = 8, d = 4, CR = 0.61538462, H_in_req = 0.94262871, efficiency = 0.65275722 
n = 28, k = 17, d = 6, CR = 0.60714286, H_in_req = 0.94100140, efficiency = 0.64517136 
n = 43, k = 26, d = 8, CR = 0.60465116, H_in_req = 0.94017087, efficiency = 0.64310428 
n = 42, k = 25, d = 8, CR = 0.59523810, H_in_req = 0.93487634, efficiency = 0.63667703 
n = 27, k = 16, d = 6, CR = 0.59259259, H_in_req = 0.93393936, efficiency = 0.63446899 
n = 70, k = 41, d = 12, CR = 0.58571429, H_in_req = 0.92813108, efficiency = 0.63105311 
n = 24, k = 14, d = 6, CR = 0.58333333, H_in_req = 0.91725286, efficiency = 0.63591153 
n = 38, k = 22, d = 8, CR = 0.57894737, H_in_req = 0.91609762, efficiency = 0.63194254 
n = 37, k = 21, d = 8, CR = 0.56756757, H_in_req = 0.90873920, efficiency = 0.62453622 
n = 23, k = 13, d = 6, CR = 0.56521739, H_in_req = 0.90743807, efficiency = 0.62282368 
n = 64, k = 36, d = 12, CR = 0.56250000, H_in_req = 0.90484501, efficiency = 0.62163616 
n = 36, k = 20, d = 8, CR = 0.55555556, H_in_req = 0.90075734, efficiency = 0.61673411 
n = 63, k = 35, d = 12, CR = 0.55555556, H_in_req = 0.89937973, efficiency = 0.61769202 
n = 62, k = 34, d = 12, CR = 0.54838710, H_in_req = 0.89361196, efficiency = 0.61365670 
n = 35, k = 19, d = 8, CR = 0.54285714, H_in_req = 0.89210310, efficiency = 0.60848188 
n = 61, k = 33, d = 12, CR = 0.54098361, H_in_req = 0.88752628, efficiency = 0.60952248 
n = 60, k = 32, d = 12, CR = 0.53333333, H_in_req = 0.88110660, efficiency = 0.60528053 
n = 32, k = 17, d = 8, CR = 0.53125000, H_in_req = 0.87256584, efficiency = 0.60880076 
n = 23, k = 12, d = 7, CR = 0.52173913, H_in_req = 0.85228941, efficiency = 0.61211092 
n = 47, k = 24, d = 11, CR = 0.51063830, H_in_req = 0.84455019, efficiency = 0.60460235 
n = 104, k = 52, d = 20, CR = 0.50000000, H_in_req = 0.84341034, efficiency = 0.59281985 
n = 72, k = 36, d = 15, CR = 0.50000000, H_in_req = 0.84080848, efficiency = 0.59464923 
n = 90, k = 45, d = 18, CR = 0.50000000, H_in_req = 0.83906521, efficiency = 0.59588801 
n = 22, k = 11, d = 7, CR = 0.50000000, H_in_req = 0.83774872, efficiency = 0.59678342 
n = 28, k = 14, d = 8, CR = 0.50000000, H_in_req = 0.83680771, efficiency = 0.59746616 
n = 46, k = 23, d = 11, CR = 0.50000000, H_in_req = 0.83499692, efficiency = 0.59877857 
n = 48, k = 24, d = 12, CR = 0.50000000, H_in_req = 0.81557965, efficiency = 0.61303537 
n = 24, k = 12, d = 8, CR = 0.50000000, H_in_req = 0.80790437, efficiency = 0.61883356 
n = 47, k = 23, d = 12, CR = 0.48936170, H_in_req = 0.80532197, efficiency = 0.60763328 
n = 71, k = 34, d = 16, CR = 0.47887324, H_in_req = 0.80401864, efficiency = 0.59558216 
n = 46, k = 22, d = 12, CR = 0.47826087, H_in_req = 0.79453332, efficiency = 0.60191199 
n = 23, k = 11, d = 8, CR = 0.47826087, H_in_req = 0.79171716, efficiency = 0.60402555 
n = 45, k = 21, d = 12, CR = 0.46666667, H_in_req = 0.78319048, efficiency = 0.59582497 
n = 68, k = 31, d = 16, CR = 0.45588235, H_in_req = 0.77880682, efficiency = 0.58534111 
n = 22, k = 10, d = 8, CR = 0.45454545, H_in_req = 0.77426947, efficiency = 0.58700494 
n = 44, k = 20, d = 12, CR = 0.45454545, H_in_req = 0.77126967, efficiency = 0.58931752 
n = 67, k = 30, d = 16, CR = 0.44776119, H_in_req = 0.76975600, efficiency = 0.58167298 
n = 43, k = 19, d = 12, CR = 0.44186047, H_in_req = 0.75874655, efficiency = 0.58232517 
n = 64, k = 28, d = 16, CR = 0.43750000, H_in_req = 0.75062241, efficiency = 0.58282883 
n = 42, k = 18, d = 12, CR = 0.42857143, H_in_req = 0.74559630, efficiency = 0.57477166 
n = 63, k = 27, d = 16, CR = 0.42857143, H_in_req = 0.74051854, efficiency = 0.57872361 
n = 62, k = 26, d = 16, CR = 0.41935484, H_in_req = 0.73004232, efficiency = 0.57440329 
n = 61, k = 25, d = 16, CR = 0.40983607, H_in_req = 0.71918288, efficiency = 0.56984070 
n = 40, k = 16, d = 12, CR = 0.40000000, H_in_req = 0.71731289, efficiency = 0.55760186 
n = 60, k = 24, d = 16, CR = 0.40000000, H_in_req = 0.70792922, efficiency = 0.56500470 
n = 59, k = 23, d = 16, CR = 0.38983051, H_in_req = 0.69627028, efficiency = 0.55985954 
n = 81, k = 31, d = 20, CR = 0.38271605, H_in_req = 0.69270617, efficiency = 0.55247625 
n = 58, k = 22, d = 16, CR = 0.37931034, H_in_req = 0.68419490, efficiency = 0.55436413 
n = 80, k = 30, d = 20, CR = 0.37500000, H_in_req = 0.68297869, efficiency = 0.54904715 
n = 72, k = 27, d = 19, CR = 0.37500000, H_in_req = 0.67270666, efficiency = 0.55742887 
n = 56, k = 21, d = 16, CR = 0.37500000, H_in_req = 0.67169185, efficiency = 0.55826514 
n = 73, k = 27, d = 20, CR = 0.36986301, H_in_req = 0.65212672, efficiency = 0.56714333 
n = 72, k = 26, d = 20, CR = 0.36111111, H_in_req = 0.64126696, efficiency = 0.56309968 
n = 71, k = 25, d = 20, CR = 0.35211268, H_in_req = 0.63010971, efficiency = 0.55878935 
n = 90, k = 31, d = 24, CR = 0.34444444, H_in_req = 0.61962744, efficiency = 0.55587167 
n = 70, k = 24, d = 20, CR = 0.34285714, H_in_req = 0.61864918, efficiency = 0.55417977 
n = 86, k = 29, d = 23, CR = 0.33720930, H_in_req = 0.61688729, efficiency = 0.54661149 
n = 89, k = 30, d = 24, CR = 0.33707865, H_in_req = 0.60986305, efficiency = 0.55269362 
n = 128, k = 43, d = 32, CR = 0.33593750, H_in_req = 0.60616030, efficiency = 0.55419283 
n = 48, k = 16, d = 16, CR = 0.33333333, H_in_req = 0.60236731, efficiency = 0.55333764 
n = 87, k = 29, d = 24, CR = 0.33333333, H_in_req = 0.59988110, efficiency = 0.55564652 
